Gene ID	Control-1(raw)	Control-2(raw)	Control-3(raw)	Treat-1(raw)	Treat-2(raw)	Treat-3(raw)	Control-1	Control-2	Control-3	Treat-1	Treat-2	Treat-3	Gene Symbol
19043	635.9993	449.9638	620.4581	738.2866	772.84406	905.8697	-0.1425767	-0.35883284	-0.24853086	0.1425767	0.22404003	0.31661654	Ppm1b
20532	38.000385	15.16	41.073673	22.346653	29.448084	26.367516	0.4303565	-0.61242765	0.47229362	-0.26560128	0.14798093	-0.14798093	Slc3a1
213760	260.01428	270.81702	325.66232	268.1454	177.33498	205.783	-0.057210922	0.28447652	0.19731212	0.057210922	-0.5238602	-0.44576287	Prepl
73582	87.91183	85.22691	87.690895	83.47677	92.35776	56.729362	0.002342582	0.24055433	-0.07155037	-0.002342582	0.15898299	-0.68070424	Camkmt
102640858	0	0	0	0	0	0	0	0	0	0	0	0	Gm36826
668850	0	0	0	0	0	0	0	0	0	0	0	0	Rpl31-ps16
383282	0	0	0	0	0	0	0	0	0	0	0	0	Gm5231
100043902	7	11.333333	8.833334	8.9	3	6.8333335	0	0	0	0	0	0	Six3os1
20473	47.30952	39.933334	59	112.24286	97	127.14287	-0.6848203	-0.6463972	-0.43649852	0.6315985	0.4364984	0.6903429	Six3
20472	15.833333	15.5	20.25	29	32	25	-0.4462862	-0.1940229	-0.161592	0.49679935	0.65428543	0.16159189	Six2
102640971	0	0	0	0	0	0	0	0	0	0	0	0	CJ186046Rik
105246343	0	0	0	0	0	0	0	0	0	0	0	0	Gm41644
105246344	0	0	0	0	0	0	0	0	0	0	0	0	Gm41645
102631830	0	0	0	0	0	0	0	0	0	0	0	0	Gm29418
102631899	0	0	0	0	0	0	0	0	0	0	0	0	Gm30117
78586	439.62466	341.21884	416.55832	271.42657	259.51636	287.04855	0.38686466	0.30424976	0.23884821	-0.23884821	-0.2881174	-0.2791977	Srbd1
18754	3360.7	2771.1882	3647.1494	3274.986	3048.3313	3362.9822	-0.002351284	0.002351761	0.045393467	0.030373573	-0.05762863	-0.052456856	Prkce
72104	11.892499	12.624508	12.051345	14.97538	12.532597	10.047844	-0.080549	0.28858638	-0.13166928	0.32198906	0.080549	-0.37479997	2010106C02Rik
102632130	0	0	0	0	0	0	0	0	0	0	0	0	Gm30284
100417795	0	0	0	0	0	0	0	0	0	0	0	0	Gm18832
13819	153910.78	127263.43	176420.4	209712.69	210387.25	231571.4	-0.32148838	-0.31280518	-0.19482803	0.19482803	0.21492863	0.21678925	Epas1
78469	0	0	0	0	0	0	0	0	0	0	0	0	Tmem247
74915	0	0	0	0.5	0	0	0	0	0	0	0	0	Atp6v1e2
104215	519.17926	402.83188	575.62646	443.16174	471.3517	439.76526	0.068529606	-0.014564991	0.1471672	-0.08987236	0.014565468	-0.22205448	Rhoq
18701	48.48269	41.149113	66.734985	58.195446	45.585506	63.30828	-0.18989277	-0.1435411	0.20081806	0.1435411	-0.19332266	0.14394665	Pigf
56724	219.02025	147.76627	144.67984	215.27469	204.87263	249.55453	0.005435944	-0.27935123	-0.6630273	0.050548077	-0.00543642	0.14264154	Cript
102632313	0	0	0	0	0	0	0	0	0	0	0	0	Gm30421
433144	0	0	0	0	0	0	0	0	0	0	0	0	Gm5499
102632435	0	0	0	0	0	0	0	0	0	0	0	0	Gm30510
56468	1035.936	802.4125	1040.934	694.49255	653.9934	656.7857	0.29623222	0.21067333	0.23291302	-0.21067381	-0.28188992	-0.41229296	Socs5
399626	0	0	1	3.6976743	0	2.5	0	0	0	0	0	0	C330024C12Rik
105246347	0	0	0	0	0	0	0	0	0	0	0	0	Gm41647
193813	916.90533	744.06506	964.8848	736.5022	726.56793	795.19995	0.13223457	0.11385059	0.13555574	-0.11385107	-0.11797571	-0.124305725	Mcfd2
108168329	0	0	0	0	0	0	0	0	0	0	0	0	Gm46586
74597	36.918198	26.598068	25.482313	34.42507	30.864546	26.811365	0.18148375	-0.008566856	-0.42361486	0.15060878	0.008566856	-0.33108878	4833418N02Rik
225049	123.179016	73.81491	108.5627	147.22745	207.28526	128.86244	-0.006995201	-0.46280754	-0.25948596	0.32029247	0.82933044	0.006995201	Ttc7
102632541	0	0	0	0	0	0	0	0	0	0	0	0	LOC102632541
75467	3.5614717	3.96	4.3944144	3.0384023	2.0935903	1.232459	0	0.43089992	0.22784771	0	0	0	Stpg4
12314	2712.8184	2197.2373	2979.902	2210.628	2142.2207	2557.5237	0.078635216	0.057494164	0.14384556	-0.14670372	-0.1765852	-0.057494164	Calm2
